Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,02/03/2018 02:12:32,115754899,19,16,1658,1205.0,1048,0,87.26315789,260.8196146,1053,0,75.3125,263.4592236,24.73329444,0.302363013,3404555.853,4712565.21,10000000.0,16.0,116000000.0,6430827.722,4778989.993,10000000.0,16.0,110000000.0,7363218.667,4587257.051,10100000.0,373.0,0,0,0,0,392,464,0.164139921,0.138223092,0,1053,79.52777778,254.8608008,64954.02778,0,0,0,1,0,0,0,0,0,81.8,87.26315789,75.3125,0,0,0,0,0,0,19,1658,16,1205,8192,1012,15,20,43521.66667,57261.07733,225350.0,26964.0,9602718.583,1361490.661,10000000.0,5279624.0,Benign
445,6,02/03/2018 10:29:40,1105669,6,5,455,338.0,140,0,75.83333333,62.93621109,145,0,67.6,69.7588704,717.2128368,9.948727874,110566.9,141686.6448,275646.0,62.0,1105548.0,221109.6,123522.7949,279226.0,166.0,1105607.0,276401.75,2541.809379,280186.0,274880.0,0,0,0,0,128,108,5.426578841,4.522149034,0,145,66.08333333,63.40269328,4019.901515,0,0,0,1,0,0,0,0,0,72.09090909,75.83333333,67.6,0,0,0,0,0,0,6,455,5,338,8192,0,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,02/03/2018 01:37:53,253,1,1,41,57.0,41,41,41.0,0.0,57,57,57.0,0.0,387351.7787,7905.13834,253.0,0.0,253.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,3952.56917,3952.56917,41,57,46.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,69.5,41.0,57.0,0,0,0,0,0,0,1,41,1,57,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
3389,6,02/03/2018 04:49:05,106162,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37.67826529,35387.33333,58558.63394,102984.0,129.0,106162.0,53081.0,70755.93295,103113.0,3049.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,24,28.25869897,9.419566323,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,1024,64000,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
53,17,02/03/2018 09:20:23,609,1,1,45,73.0,45,45,45.0,0.0,73,73,73.0,0.0,193760.2627,3284.07225,609.0,0.0,609.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,1642.036125,1642.036125,45,73,54.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,81.5,45.0,73.0,0,0,0,0,0,0,1,45,1,73,-1,-1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
445,6,02/03/2018 05:29:38,187888,3,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,21.28927872,62629.33333,108378.4605,187774.0,56.0,187888.0,93944.0,132774.8545,187830.0,58.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,32,15.96695904,5.32231968,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,8192,8192,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
0,0,02/03/2018 10:59:15,112642056,3,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.026633037,56300000.0,169.7056275,56300000.0,56300000.0,113000000.0,56300000.0,169.7056275,56300000.0,56300000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.026633037,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,-1,-1,0,0,0.0,0.0,0.0,0.0,56300000.0,169.7056275,56300000.0,56300000.0,Benign
53796,6,02/03/2018 04:36:39,86338051,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.023164757,86300000.0,0.0,86300000.0,86300000.0,86300000.0,86300000.0,0.0,86300000.0,86300000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,0.023164757,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,62561,-1,0,20,0.0,0.0,0.0,0.0,86300000.0,0.0,86300000.0,86300000.0,Benign
3389,6,02/03/2018 12:45:30,1706741,8,7,1128,1581.0,661,0,141.0,222.6233206,1173,0,225.8571429,430.0986044,1587.235556,8.788679712,121910.0714,241333.4961,937646.0,3.0,1706741.0,243820.1429,385454.6993,1111965.0,3.0,1597609.0,266268.1667,330467.8574,937646.0,109820.0,0,0,0,0,172,152,4.687295846,4.101383866,0,1173,169.3125,317.731274,100953.1625,0,0,1,1,0,0,0,1,0,180.6,141.0,225.8571429,0,0,0,0,0,0,8,1128,7,1581,8192,62872,5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
80,6,02/03/2018 10:27:02,87,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,22988.50575,87.0,0.0,87.0,87.0,87.0,87.0,0.0,87.0,87.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,22988.50575,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,279,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign
